Model,SFX,Chasis,Engine No.,Color code,PROD Month,PO AMS,STATUS,ETA Import
HZJ79R-DKMRS,H6,,,,,,,
HZJ79R-DKMRS,H6,,,,,,,
HZJ79R-TJMRS,H4,,,,,,,
HZJ79R-TJMRS,H4,,,,,,,
K15BL-GHPPKJ,LA,,,,,,,
K15BL-GHPXKJ,XA,,,,,,,
K15BL-HEPRKJ,G4,,,,,,,
K15BL-HMPRKJ,L5,,,,,,,
K15BL-HMPRKJ,K5,,,,,,,
K15BL-HMPSKJ,L3,,,,,,,
K15BL-HMPSKJ,K3,,,,,,,
KDH222L-LEMDY,K6,,,,,,,
KDH222L-LEMDY,E6,,,,,,,
MXAA52L-ANXXB,A3,,,,,,,
MXAA54L-ANXGB,L2,,,,,,,
MXAA54L-ANXMB,C1,,,,,,,
TGN126L-DTMHKV ,4K,,,,,,,
TGN126L-DTMHKV ,4K,,,,,,,
TGN156L-SDTLKV,MZ,,,,,,,
TRJ150L-GKTEK       ,F1,,,,,,,
TRJ150L-GKTEK       ,F1,,,,,,,
VDJ76L-RKMNYV,E0,,,,,,,
VDJ76L-RKMNYV,E0,,,,,,,
VDJ78L-RJMRYV,E2,,,,,,,
VDJ78L-RJMRYV,E2,,,,,,,
VDJ79L-DKMRYV,E6,,,,,,,
VDJ79L-TJMNYV,E4,,,,,,,
VJA300L-GNUVZV      ,P3,,,,,,,
VJA300L-GNUVZV      ,P4,,,,,,,
VJA300L-GNUZZ       ,P6,,,,,,,
VJA300R-GNUZZ,P6,,,,,,,
ZRE210L-DEXDK,0,,,,,,,
ZRE210L-DEXNK,1,,,,,,,
ZRE210L-DEXNK,2,,,,,,,
ZSG10L-EHXGKV,3,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
