Model,SFX,Chasis,Engine No.,Color code,PROD Month,PO AMS,STATUS,ETA Import
FJA300R-GNUZY,D6,JTMAA7BJ204015415,F33A-0019545,21820,202203,10627,DELIVERED,02/05/2022
FJA300R-GNUZY,D6,JTMAA7BJ704016172,F33A-0017584,21820,202203,10627,DELIVERED,22/05/2022
GDJ150R-GKTEY,U3,JTEBR3FJ20K245768,1GD    8879064,1G322,2022/01,10424,DELIVERED,16/02/2022
FJA300L-GNUAY,D0,JTMAACBJ104013244,F33A   0017263,21820,202202,10714,DELIVERED,14/04/2022
FJA300L-GNUAY,D0,JTMAACBJ804013743,F33A-0017813,21820,202202,10714,DELIVERED,19/04/2022
FJA300L-GNUAY,D0,JTMAACBJ704011997,F33A   0016068,1G320,202202,10842,DELIVERED,14/04/2022
FJA300L-GNUAY,D0,JTMAACBJ104012711,F33A   0016471,1G320,202202,10517,DELIVERED,14/04/2022
FJA300L-GNUAY,D0,JTMAACBJ104012952,F33A   0016892,1G320,202202,10517,DELIVERED,14/04/2022
FJA300L-GNUAY,D0,JTMAACBJ604013370,F33A   0017347,1G320,202202,10517,DELIVERED,14/04/2022
FJA300L-GNUAY,D0,JTMAACBJ604012042,F33A   0016095,1F720,202202,10517,DELIVERED,14/04/2022
FJA300L-GNUAY,D0,JTMAACBJ804012513,F33A   0013584,1F720,202202,10517,DELIVERED,14/04/2022
FJA300L-GNUAY,D0,JTMAACBJ604012834,F33A   0016746,1F720,202202,10460,DELIVERED,14/04/2022
FJA300L-GNUAY,D0,JTMAACBJ204013561,F33A   0013647,1F720,202202,10459,DELIVERED,14/04/2022
FJA300L-GNUVY,D3,JTMAABBJ404013751,F33A-0017816,21840,202202,10516,DELIVERED,19/04/2022
FJA300L-GNUVY,D3,JTMAABBJ304011537,F33A   0015708,1G320,202202,10539,DELIVERED,14/04/2022
FJA300L-GNUVY,D3,JTMAABBJ304011022,F33A-0015353,1F720,202202,10425,DELIVERED,19/03/2022
FJA300L-GNUVY,D3,JTMAABBJ804012053,F33A   0016105,1F720,202202,10630,DELIVERED,14/04/2022
FJA300L-GNUZYV,D6,JTMAA7BJ304011289,F33A-0015531,21820,202202,10682,DELIVERED,19/03/2022
FJA300L-GNUZYV,D6,JTMAA7BJ204010683,F33A-0015114,21820,202202,10715,DELIVERED,19/03/2022
